Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
3,130526,Vilar do Torno e Alentém
3,130528,"União das freguesias de Cristelos, Boim e Ordem"
3,130529,União das freguesias de Figueiras e Covas
3,130530,União das freguesias de Lustosa e Barrosas (Santo Estêvão)
3,130531,União das freguesias de Nespereira e Casais
3,130532,"União das freguesias de Silvares, Pias, Nogueira e Alvarenga"
2,APU1306A,Maia
3,130601,Águas Santas
3,130608,Milheirós
3,130609,Moreira
3,130613,São Pedro Fins
3,130616,Vila Nova da Telha
3,130617,Pedrouços
3,130618,Castêlo da Maia
3,130619,Cidade da Maia
3,130620,Nogueira e Silva Escura
2,APU1307A,"Alpendorada, Várzea e Torrão"
3,130723,Sobretâmega
3,130724,Tabuado
3,130732,"Alpendorada, Várzea e Torrão"
3,130736,Marco
2,APU1307B,Marco de Canaveses
2,APU1308A,Matosinhos
3,130811,"União das freguesias de Custóias, Leça do Balio e Guifões"
3,130812,União das freguesias de Matosinhos e Leça da Palmeira
3,130813,"União das freguesias de Perafita, Lavra e Santa Cruz do Bispo"
3,130814,União das freguesias de São Mamede de Infesta e Senhora da Hora
2,APU1309A,Paços de Ferreira
3,130902,Carvalhosa
3,130904,Eiriz
3,130905,Ferreira
3,130906,Figueiró
3,130908,Freamunde
3,130910,Meixomil
3,130913,Penamaior
3,130914,Raimonda
3,130916,Seroa
3,130917,Frazão Arreigada
3,130918,Paços de Ferreira
3,130919,Sanfins Lamoso Codessos
2,APU1310A,Paredes
3,131002,Astromil
3,131003,Baltar
3,131004,Beire
3,131008,Cete
3,131009,Cristelo
3,131010,Duas Igrejas
3,131011,Gandra
3,131013,Lordelo
3,131017,Parada de Todeia
3,131018,Rebordosa
3,131019,Recarei
3,131021,Sobrosa
3,131022,Vandoma
3,131024,Vilela
3,131025,Paredes
2,APU1311B,Penafiel
2,APU1311A,Sebolido
3,131108,Croca
3,131109,Duas Igrejas
3,131113,Galegos
3,131115,Irivo
3,131121,Oldrões
3,131122,Paço de Sousa
3,131128,Rans
3,131134,Sebolido
3,131139,Penafiel
3,131141,Guilhufe e Urrô
3,131143,Termas de São Vicente
2,APU1311C,Termas de São Vicente
2,APU1312A,Porto
3,131202,Bonfim
3,131203,Campanhã
3,131210,Paranhos
3,131211,Ramalde
3,131216,"União das freguesias de Aldoar, Foz do Douro e Nevogilde"
3,131217,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória"
3,131218,União das freguesias de Lordelo do Ouro e Massarelos
2,APU1313A,Póvoa de Varzim
3,131308,Laundos
3,131313,"União das freguesias de Aver-o-Mar, Amorim e Terroso"
3,131314,União das freguesias de Aguçadoura e Navais
3,131315,"União das freguesias da Póvoa de Varzim, Beiriz e Argivai"
2,APU1314A,Santo Tirso
3,131405,Aves
3,131416,Rebordões
3,131419,Roriz
3,131430,Negrelos (São Tomé)
3,131432,Vilarinho
3,131433,"União das freguesias de Areias, Sequeiró, Lama e Palmeira"
3,131434,Vila Nova do Campo
3,131437,"União das freguesias de Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães"
2,APU1315A,Valongo
3,131501,Alfena
3,131503,Ermesinde
3,131505,Valongo
3,131506,União das freguesias de Campo e Sobrado
2,APU1316A,Vila do Conde
3,131602,Árvore
3,131604,Azurara
3,131611,Guilhabreu
3,131613,Labruge
3,131616,Mindelo
3,131617,Modivas
3,131627,Vila Chã
3,131628,Vila do Conde
3,131630,Vilar de Pinheiro
3,131633,União das freguesias de Malta e Canidelo
3,131636,União das freguesias de Touguinha e Touguinhó
2,APU1316B,Vilar de Pinheiro
2,APU1317A,Vila Nova de Gaia
3,131701,Arcozelo
3,131702,Avintes
3,131703,Canelas
3,131704,Canidelo
3,131709,Madalena
3,131712,Oliveira do Douro
3,131717,São Félix da Marinha
3,131723,Vilar de Andorinho
3,131725,União das freguesias de Grijó e Sermonde
3,131726,União das freguesias de Gulpilhares e Valadares
3,131727,União das freguesias de Mafamude e Vilar do Paraíso
3,131728,União das freguesias de Pedroso e Seixezelo
3,131729,"União das freguesias de Sandim, Olival, Lever e Crestuma"
3,131730,União das freguesias de Santa Marinha e São Pedro da Afurada
3,131731,União das freguesias de Serzedo e Perosinho
2,APU1318A,Trofa
3,131808,Muro
3,131809,União das freguesias de Alvarelhos e Guidões
3,131810,União das freguesias de Bougado (São Martinho e Santiago)
3,131811,União das freguesias de Coronado (São Romão e São Mamede)
2,APU1401A,Abrantes
3,140120,União das freguesias de Abrantes (São Vicente e São João) e Alferrarede
3,140124,União das freguesias de São Miguel do Rio Torto e Rossio ao Sul do Tejo
2,APU1402A,Alcanena
