Fonte: www.ine.pt – Sistema de metainformação
Exportação de categorias - Data de extração: 15-09-2026.

Família,Territoriais
Classificação,Tipologia de áreas urbanas
Versão,"V05635 - Tipologia de áreas urbanas, 2025"
Tipo de exportação,Total
Data de referência,15-09-2026

Nível,Código,Designação
3,050433,União das freguesias de Janeiro de Cima e Bogas de Baixo
3,050435,União das freguesias de Póvoa de Atalaia e Atalaia do Campo
3,050436,União das freguesias de Vale de Prazeres e Mata da Rainha
2,APR0505A,Idanha-a-Nova (APR)
3,050502,Aldeia de Santa Margarida
3,050505,Ladoeiro
3,050506,Medelim
3,050509,Oledo
3,050510,Penha Garcia
3,050511,Proença-a-Velha
3,050512,Rosmaninhal
3,050514,São Miguel de Acha
3,050516,Toulões
3,050519,União das freguesias de Monfortinho e Salvaterra do Extremo
3,050520,União das freguesias de Monsanto e Idanha-a-Velha
3,050521,União das freguesias de Zebreira e Segura
2,APR0506A,Oleiros (APR)
3,050601,Álvaro
3,050603,Cambas
3,050613,Estreito-Vilar Barroco
3,050605,Isna
3,050606,Madeirã
3,050607,Mosteiro
3,050609,Orvalho
3,050610,Sarnadas de São Simão
3,050611,Sobral
2,APR0507A,Penamacor (APR)
3,050704,Aranhas
3,050706,Benquerença
3,050707,Meimão
3,050708,Meimoa
3,050711,Salvador
3,050713,"União das freguesias de Aldeia do Bispo, Águas e Aldeia de João Pires"
3,050714,União das freguesias de Pedrógão de São Pedro e Bemposta
3,050712,Vale da Senhora da Póvoa
2,APR0508A,Proença-a-Nova (APR)
3,050802,Montes da Senhora
3,050805,São Pedro do Esteval
3,050808,União das freguesias de Sobreira Formosa e Alvito da Beira
2,APR0509A,Sertã (APR)
3,050901,Cabeçudo
3,050902,Carvalhal
3,050903,Castelo
3,050911,Pedrógão Pequeno
3,050913,Troviscal
3,050915,"União das freguesias de Cernache do Bonjardim, Nesperal e Palhais"
3,050916,União das freguesias de Cumeada e Marmeleiro
3,050917,União das freguesias de Ermida e Figueiredo
3,050914,Várzea dos Cavaleiros
2,APR0510A,Vila de Rei (APR)
3,051001,Fundada
3,051002,São João do Peso
2,APR0511A,Vila Velha de Ródão (APR)
3,051101,Fratel
3,051102,Perais
3,051103,Sarnadas de Ródão
2,APR0601A,Arganil (APR)
3,060104,Benfeita
3,060105,Celavisa
3,060109,Folques
3,060111,Piódão
3,060112,Pomares
3,060113,Pombeiro da Beira
3,060114,São Martinho da Cortiça
3,060115,Sarzedo
3,060116,Secarias
3,060119,União das freguesias de Cepos e Teixeira
3,060120,União das freguesias de Cerdeira e Moura da Serra
3,060121,União das freguesias de Côja e Barril de Alva
3,060122,União das freguesias de Vila Cova de Alva e Anseriz
2,APR0602A,Cantanhede (APR)
3,060203,Cadima
3,060205,Cordinhã
3,060207,Febres
3,060208,Murtede
3,060209,Ourentã
3,060218,Sanguinheira
3,060215,São Caetano
3,060214,Tocha
3,060221,União das freguesias de Covões e Camarneira
3,060222,União das freguesias de Portunhos e Outil
3,060223,União das freguesias de Sepins e Bolho
2,APR0603A,Coimbra (APR)
3,060301,Almalaguês
3,060337,União das freguesias de São Martinho de Árvore e Lamarosa
2,APR0604A,Condeixa-a-Nova (APR)
3,060401,Anobra
3,060406,Ega
3,060407,Furadouro
3,060413,União das freguesias de Vila Seca e Bem da Fé
3,060410,Zambujal
2,APR0605A,Figueira da Foz (APR)
3,060519,Alhadas
3,060502,Alqueidão
3,060515,Bom Sucesso
3,060521,Ferreira-a-Nova
3,060522,Lavos
3,060507,Maiorca
3,060508,Marinha das Ondas
3,060518,Moinhos da Gândara
3,060523,Paião
3,060524,Quiaios
2,APR0606A,Góis (APR)
3,060601,Alvares
3,060606,União das freguesias de Cadafaz e Colmeal
3,060605,Vila Nova do Ceira
2,APR0607A,Lousã (APR)
3,060706,Gândaras
3,060704,Serpins
3,060707,União das freguesias de Foz de Arouce e Casal de Ermio
2,APR0608A,Mira (APR)
3,060803,Carapelhos
3,060802,Seixo
2,APR0609A,Miranda do Corvo (APR)
3,060901,Lamas
3,060906,União das freguesias de Semide e Rio Vide
3,060905,Vila Nova
2,APR0610A,Montemor-o-Velho (APR)
3,061002,Arazede
3,061014,Ereira
3,061005,Liceia
3,061006,Meãs do Campo
3,061011,Tentúgal
3,061015,"União das freguesias de Abrunheira, Verride e Vila Nova da Barca"
2,APR0611A,Oliveira do Hospital (APR)
3,061101,Aldeia das Dez
3,061102,Alvoco das Várzeas
3,061103,Avô
3,061106,Lagares
3,061109,Lourosa
3,061110,Meruge
3,061115,São Gião
3,061118,Seixo da Beira
3,061119,Travanca de Lagos
3,061122,União das freguesias de Ervedal e Vila Franca da Beira
3,061123,União das freguesias de Lagos da Beira e Lajeosa
3,061125,União das freguesias de Penalva de Alva e São Sebastião da Feira
3,061126,União das freguesias de Santa Ovaia e Vila Pouca da Beira
2,APR0612A,Pampilhosa da Serra (APR)
3,061201,Cabril
3,061202,Dornelas do Zêzere
3,061211,Fajão-Vidual
3,061204,Janeiro de Baixo
3,061207,Pessegueiro
3,061212,Portela do Fojo-Machio
3,061209,Unhais-o-Velho
2,APR0613A,Penacova (APR)
3,061301,Carvalho
3,061302,Figueira de Lorvão
3,061304,Lorvão
3,061310,Sazes do Lorvão
3,061312,União das freguesias de Friúmes e Paradela
3,061313,União das freguesias de Oliveira do Mondego e Travanca do Mondego
3,061314,União das freguesias de São Pedro de Alva e São Paio de Mondego
2,APR0614A,Penela (APR)
3,061401,Cumeeira
3,061402,Espinhal
3,061403,Podentes
2,APR0615A,Soure (APR)
3,061501,Alfarelos
3,061504,Figueiró do Campo
3,061508,Samuel
3,061510,Tapéus
3,061513,União das freguesias de Degracias e Pombalinho
3,061514,União das freguesias de Gesteira e Brunhós
3,061511,Vila Nova de Anços
3,061512,Vinha da Rainha
2,APR0616A,Tábua (APR)
3,061602,Candosa
3,061603,Carapinha
3,061608,Midões
3,061609,Mouronho
3,061611,Póvoa de Midões
3,061612,São João da Boa Vista
3,061616,União das freguesias de Ázere e Covelo
3,061617,União das freguesias de Covas e Vila Nova de Oliveirinha
3,061618,União das freguesias de Espariz e Sinde
3,061619,União das freguesias de Pinheiro de Coja e Meda de Mouros
2,APR0617A,Vila Nova de Poiares (APR)
3,061701,Arrifana
3,061702,Lavegadas
3,061704,São Miguel de Poiares
2,APR0701A,Alandroal (APR)
3,070104,Capelins (Santo António)
3,070103,Santiago Maior
3,070105,Terena (São Pedro)
2,APR0702A,Arraiolos (APR)
3,070202,Igrejinha
3,070208,União das freguesias de Gafanhoeira (São Pedro) e Sabugueiro
3,070209,União das freguesias de São Gregório e Santa Justa
3,070206,Vimieiro
2,APR0703A,Borba (APR)
3,070302,Orada
3,070303,Rio de Moinhos
2,APR0704A,Estremoz (APR)
3,070401,Arcos
3,070404,Évora Monte (Santa Maria)
3,070402,Glória
3,070411,São Domingos de Ana Loura
3,070415,União das freguesias de São Bento do Cortiço e Santo Estêvão
3,070416,União das freguesias de São Lourenço de Mamporcão e São Bento de Ana Loura
3,070417,União das freguesias do Ameixial (Santa Vitória e São Bento)
3,070413,Veiros
2,APR0705A,Évora (APR)
3,070502,Nossa Senhora da Graça do Divor
3,070503,Nossa Senhora de Machede
3,070506,São Bento do Mato
3,070509,São Miguel de Machede
3,070513,Torre de Coelheiros
3,070525,União das freguesias de Nossa Senhora da Tourega e Nossa Senhora de Guadalupe
3,070526,União das freguesias de São Manços e São Vicente do Pigeiro
3,070527,União das freguesias de São Sebastião da Giesteira e Nossa Senhora da Boa Fé
2,APR0706A,Montemor-o-Novo (APR)
3,070601,Cabrela
3,070607,Ciborro
3,070610,Foros de Vale de Figueira
3,070605,Santiago do Escoural
3,070606,São Cristóvão
3,070611,União das freguesias de Cortiçadas de Lavre e Lavre
2,APR0707A,Mora (APR)
3,070701,Brotas
3,070702,Cabeção
3,070704,Pavia
2,APR0708A,Mourão (APR)
3,070801,Granja
3,070802,Luz
2,APR0709A,Portel (APR)
3,070903,Monte do Trigo
3,070906,Santana
3,070909,União das freguesias de Amieira e Alqueva
3,070910,União das freguesias de São Bartolomeu do Outeiro e Oriola
3,070908,Vera Cruz
2,APR0710A,Redondo (APR)
3,071001,Montoito
2,APR0711A,Reguengos de Monsaraz (APR)
3,071102,Corval
3,071103,Monsaraz
3,071106,União das freguesias de Campo e Campinho
2,APR0712A,Vendas Novas (APR)
3,071202,Landeira
2,APR0713A,Viana do Alentejo (APR)
3,071303,Aguiar
3,071301,Alcáçovas
2,APR0714A,Vila Viçosa (APR)
3,071401,Bencatel
3,071402,Ciladas
3,071404,Pardais
2,APR0801A,Albufeira (APR)
3,080103,Paderne
2,APR0802A,Alcoutim (APR)
3,080202,Giões
3,080203,Martim Longo
3,080205,Vaqueiros
2,APR0803A,Aljezur (APR)
3,080302,Bordeira
3,080303,Odeceixe
3,080304,Rogil
2,APR0804A,Castro Marim (APR)
3,080404,Altura
3,080401,Azinhal
3,080403,Odeleite
2,APR0805A,Faro (APR)
3,080503,Santa Bárbara de Nexe
3,080507,União das freguesias de Conceição e Estoi
2,APR0806A,Lagoa (APR)
3,080604,Porches
2,APR0807A,Lagos (APR)
3,080704,Odiáxere
3,080707,União das freguesias de Bensafrim e Barão de São João
2,APR0808A,Loulé (APR)
3,080802,Alte
3,080803,Ameixial
3,080804,Boliqueime
3,080809,Loulé (São Sebastião)
3,080807,Salir
3,080812,"União de freguesias de Querença, Tôr e Benafim"
2,APR0809A,Monchique (APR)
3,080901,Alferce
3,080902,Marmelete
2,APR0810A,Olhão (APR)
3,081006,União das freguesias de Moncarapacho e Fuseta
2,APR0811A,Portimão (APR)
3,081102,Mexilhoeira Grande
2,APR0813A,Silves (APR)
3,081306,São Marcos da Serra
3,081309,União das freguesias de Alcantarilha e Pêra
2,APR0814A,Tavira (APR)
3,081401,Cachopo
3,081404,Santa Catarina da Fonte do Bispo
3,081410,União das freguesias de Conceição e Cabanas de Tavira
3,081411,União das freguesias de Luz de Tavira e Santo Estêvão
2,APR0815A,Vila do Bispo (APR)
3,081501,Barão de São Miguel
3,081502,Budens
3,081504,Sagres
2,APR0816A,Vila Real de Santo António (APR)
3,081601,Vila Nova de Cacela
2,APR0901A,Aguiar da Beira (APR)
3,090102,Carapito
3,090103,Cortiçada
3,090105,Dornelas
3,090106,Eirado
3,090107,Forninhos
3,090109,Pena Verde
3,090110,Pinheiro
3,090115,União das freguesias de Sequeiros e Gradiz
3,090116,União das freguesias de Souto de Aguiar da Beira e Valverde
2,APR0902A,Almeida (APR)
3,090207,Castelo Bom
3,090209,Freineda
3,090210,Freixo
3,090213,Malhada Sorda
3,090219,Nave de Haver
3,090224,São Pedro de Rio Seco
3,090230,"União das freguesias de Amoreira, Parada e Cabreira"
3,090231,"União das freguesias de Azinhal, Peva e Valverde"
3,090232,"União das freguesias de Castelo Mendo, Ade, Monteperobolso e Mesquitela"
3,090233,União das freguesias de Junça e Naves
3,090234,"União das freguesias de Leomil, Mido, Senouras e Aldeia Nova"
3,090235,União das freguesias de Malpartida e Vale de Coelha
3,090236,União das freguesias de Miuzela e Porto de Ovelha
3,090227,Vale da Mula
2,APR0903A,Celorico da Beira (APR)
3,090302,Baraçal
3,090304,Carrapichana
3,090322,Casas do Soeiro
3,090306,Forno Telheiro
3,090307,Lajeosa do Mondego
3,090308,Linhares
3,090309,Maçal do Chão
3,090310,Mesquitela
3,090311,Minhocal
3,090312,Prados
3,090314,Ratoeira
3,090323,União das freguesias de Açores e Velosa
3,090325,"União das freguesias de Cortiçô da Serra, Vide entre Vinhas e Salgueirais"
3,090326,União das freguesias de Rapa e Cadafaz
3,090318,Vale de Azares
2,APR0904A,Figueira de Castelo Rodrigo (APR)
3,090406,Escalhão
3,090410,Mata de Lobos
3,090418,"União das freguesias de Algodres, Vale de Afonsinho e Vilar de Amargo"
3,090419,União das freguesias de Almofala e Escarigo
3,090420,União das freguesias de Cinco Vilas e Reigada
3,090421,"União das freguesias de Freixeda do Torrão, Quintã de Pêro Martins e Penha de Águia"
3,090422,União das freguesias do Colmeal e Vilar Torpim
3,090415,Vermiosa
2,APR0905A,Fornos de Algodres (APR)
3,090501,Algodres
3,090502,Casal Vasco
3,090504,Figueiró da Granja
3,090507,Infias
3,090509,Maceira
3,090510,Matança
3,090511,Muxagata
3,090512,Queiriz
3,090517,União das freguesias de Cortiçô e Vila Chã
3,090518,"União das freguesias de Juncais, Vila Ruiva e Vila Soeiro do Chão"
3,090519,União das freguesias de Sobral Pichorro e Fuinhas
2,APR0906A,Gouveia (APR)
3,090602,Arcozelo
3,090603,Cativelos
3,090605,Folgosinho
3,090612,Nespereira
3,090613,Paços da Serra
3,090614,Ribamondego
3,090617,São Paio
3,090623,União das freguesias de Aldeias e Mangualde da Serra
3,090624,União das freguesias de Figueiró da Serra e Freixo da Serra
3,090626,União das freguesias de Melo e Nabais
3,090627,União das freguesias de Moimenta da Serra e Vinhó
3,090628,União das freguesias de Rio Torto e Lagarinhos
3,090619,Vila Cortês da Serra
3,090620,Vila Franca da Serra
3,090621,Vila Nova de Tazem
2,APR0911A,Sabugal (APR)
3,091101,Águas Belas
3,091103,Aldeia da Ponte
3,091102,Aldeia do Bispo
3,091106,Aldeia Velha
3,091107,Alfaiates
3,091109,Baraçal
3,091110,Bendada
3,091111,Bismula
3,091112,Casteleiro
3,091113,Cerdeira
3,091114,Fóios
3,091118,Malcata
3,091120,Nave
3,091123,Quadrazais
3,091124,Quintas de São Bartolomeu
3,091125,Rapoula do Côa
3,091126,Rebolosa
3,091127,Rendo
3,091133,Sortelha
3,091134,Souto
3,091141,"União das freguesias de Aldeia da Ribeira, Vilar Maior e Badamalos"
3,091142,União das freguesias de Lajeosa e Forcalhos
3,091143,"União das freguesias de Pousafoles do Bispo, Pena Lobo e Lomba"
3,091144,"União das freguesias de Ruvina, Ruivós e Vale das Éguas"
3,091146,União das freguesias de Santo Estêvão e Moita
3,091147,União das freguesias de Seixo do Côa e Vale Longo
3,091136,Vale de Espinho
3,091138,Vila Boa
3,091139,Vila do Touro
2,APR0912A,Seia (APR)
3,091201,Alvoco da Serra
3,091205,Girabolhos
3,091207,Loriga
3,091208,Paranhos
3,091209,Pinhanços
3,091210,Sabugueiro
3,091212,Sandomil
3,091213,Santa Comba
3,091216,Santiago
3,091219,Sazes da Beira
3,091221,Teixeira
3,091224,Travancinha
3,091230,União das freguesias de Carragozela e Várzea de Meruge
3,091231,União das freguesias de Sameice e Santa Eulália
3,091232,União das freguesias de Santa Marinha e São Martinho
3,091234,União das freguesias de Torrozelo e Folhadosa
3,091235,União das freguesias de Tourais e Lajes
3,091236,União das freguesias de Vide e Cabeça
3,091225,Valezim
3,091228,Vila Cova à Coelheira
2,APR0913A,Trancoso (APR)
3,091301,Aldeia Nova
3,091303,Castanheira
3,091304,Cogula
3,091305,Cótimos
3,091307,Fiães
3,091309,Granja
3,091310,Guilheiro
3,091311,Moimentinha
3,091312,Moreira de Rei
3,091313,Palhais
3,091314,Póvoa do Concelho
3,091315,Reboleiro
3,091316,Rio de Mel
3,091321,Tamanhos
3,091330,União das freguesias de Freches e Torres
3,091331,"União das freguesias de Torre do Terrenho, Sebadelhe da Serra e Terrenho"
3,091333,União das freguesias de Vale do Seixo e Vila Garcia
3,091334,União das freguesias de Vila Franca das Naves e Feital
3,091335,União das freguesias de Vilares e Carnicães
3,091325,Valdujo
2,APR0914A,Vila Nova de Foz Côa (APR)
3,091401,Almendra
3,091402,Castelo Melhor
3,091403,Cedovim
3,091404,Chãs
3,091405,Custóias
3,091418,Freixo de Numão
3,091407,Horta
3,091410,Muxagata
3,091411,Numão
3,091412,Santa Comba
3,091414,Sebadelhe
3,091415,Seixas
3,091416,Touça
2,APR1001A,Alcobaça (APR)
3,100102,Alfeizerão
3,100120,Aljubarrota
3,100104,Bárrio
3,100106,Cela
3,100108,Évora de Alcobaça
3,100109,Maiorga
3,100114,Turquel
3,100122,"União das freguesias de Coz, Alpedriz e Montes"
3,100116,Vimeiro
2,APR1002A,Alvaiázere (APR)
3,100201,Almoster
3,100204,Maçãs de Dona Maria
3,100205,Pelmá
3,100209,Pussos São Pedro
2,APR1003A,Ansião (APR)
3,100301,Alvorge
3,100304,Chão de Couce
3,100306,Pousaflores
3,100307,Santiago da Guarda
2,APR1004A,Batalha (APR)
3,100402,Reguengo do Fetal
3,100403,São Mamede
2,APR1005A,Bombarral (APR)
3,100502,Carvalhal
3,100505,Pó
3,100503,Roliça
2,APR1006A,Caldas da Rainha (APR)
3,100601,A dos Francos
3,100602,Alvorninha
3,100604,Carvalhal Benfeito
3,100607,Landal
3,100609,Salir de Matos
3,100615,Vidais
2,APR1008A,Figueiró dos Vinhos (APR)
3,100801,Aguda
3,100802,Arega
3,100803,Campelo
2,APR1009A,Leiria (APR)
3,100926,Bidoeira de Cima
3,100909,Coimbrão
3,100932,União das freguesias de Colmeias e Memória
3,100936,União das freguesias de Monte Redondo e Carreira
2,APR1010A,Marinha Grande (APR)
3,101003,Moita
2,APR1011A,Nazaré (APR)
3,101101,Famalicão
2,APR1012A,Óbidos (APR)
3,101201,A dos Negros
3,101202,Amoreira
3,101203,Olho Marinho
3,101209,Usseira
3,101207,Vau
2,APR1013A,Pedrógão Grande (APR)
3,101301,Graça
3,101303,Vila Facaia
2,APR1015A,Pombal (APR)
3,101501,Abiul
3,101503,Almagreira
3,101504,Carnide
3,101505,Carriço
3,101506,Louriçal
3,101508,Pelariga
3,101510,Redinha
3,101518,"União das freguesias de Guia, Ilha e Mata Mourisca"
3,101519,União das freguesias de Santiago e São Simão de Litém e Albergaria dos Doze
3,101513,Vermoil
3,101514,Vila Cã
2,APR1016A,Porto de Mós (APR)
3,101602,Alqueidão da Serra
3,101606,Juncal
3,101610,São Bento
3,101613,Serro Ventoso
3,101615,União das freguesias de Alvados e Alcaria
3,101616,União das freguesias de Arrimal e Mendiga
2,APR1101A,Alenquer (APR)
3,110106,Carnota
3,110107,Meca
3,110109,Ota
3,110117,União das freguesias de Abrigada e Cabanas de Torres
3,110118,União das freguesias de Aldeia Galega da Merceana e Aldeia Gavinha
3,110121,União das freguesias de Ribafria e Pereiro de Palhacana
3,110113,Ventosa
3,110114,Vila Verde dos Francos
2,APR1102A,Arruda dos Vinhos (APR)
3,110201,Arranhó
3,110204,S. Tiago dos Velhos
2,APR1103A,Azambuja (APR)
3,110301,Alcoentre
3,110302,Aveiras de Baixo
3,110310,"União das freguesias de Manique do Intendente, Vila Nova de São Pedro e Maçussa"
3,110306,Vale do Paraíso
2,APR1104A,Cadaval (APR)
3,110401,Alguber
3,110407,Peral
3,110412,União das freguesias de Lamas e Cercal
3,110413,União das freguesias de Painho e Figueiros
3,110409,Vermelha
3,110410,Vilar
2,APR1107A,Loures (APR)
3,110702,Bucelas
2,APR1108A,Lourinhã (APR)
3,110803,Moita dos Ferreiros
3,110805,Reguengo Grande
3,110814,União das freguesias de São Bartolomeu dos Galegos e Moledo
2,APR1109A,Mafra (APR)
3,110918,União das freguesias de Azueira e Sobral da Abelheira
3,110919,"União das freguesias de Enxara do Bispo, Gradil e Vila Franca do Rosário"
3,110920,União das freguesias de Igreja Nova e Cheleiros
2,APR1112A,Sobral de Monte Agraço (APR)
3,111201,Santo Quintino
2,APR1113A,Torres Vedras (APR)
3,111311,Ramalhal
3,111323,União das freguesias de Carvoeira e Carmões
3,111324,União das freguesias de Dois Portos e Runa
3,111325,União das freguesias de Maxial e Monte Redondo
2,APR1201A,Alter do Chão (APR)
3,120102,Chancelaria
3,120104,Cunheira
3,120103,Seda
2,APR1202A,Arronches (APR)
3,120202,Esperança
3,120203,Mosteiros
2,APR1203A,Avis (APR)
3,120302,Aldeia Velha
3,120305,Ervedal
3,120306,Figueira e Barros
3,120309,União das freguesias de Alcórrego e Maranhão
3,120310,União das freguesias de Benavila e Valongo
2,APR1204A,Campo Maior (APR)
3,120402,Nossa Senhora da Graça dos Degolados
2,APR1205A,Castelo de Vide (APR)
3,120501,Nossa Senhora da Graça de Póvoa e Meadas
3,120503,Santiago Maior
2,APR1206A,Crato (APR)
3,120601,Aldeia da Mata
3,120604,Gáfete
3,120605,Monte da Pedra
2,APR1207A,Elvas (APR)
3,120706,Santa Eulália
3,120708,São Vicente e Ventosa
3,120714,União das freguesias de Barbacena e Vila Fernando
3,120715,União das freguesias de Terrugem e Vila Boim
2,APR1208A,Fronteira (APR)
3,120801,Cabeço de Vide
3,120803,São Saturnino
2,APR1209A,Gavião (APR)
3,120902,Belver
3,120903,Comenda
3,120905,Margem
2,APR1210A,Marvão (APR)
3,121001,Beirã
3,121003,Santo António das Areias
3,121004,São Salvador da Aramenha
2,APR1211A,Monforte (APR)
3,121101,Assumar
3,121103,Santo Aleixo
3,121104,Vaiamonte
2,APR1212A,Nisa (APR)
3,121201,Alpalhão
3,121205,Montalvão
3,121207,Santana
3,121208,São Matias
3,121210,Tolosa
3,121211,União das freguesias de Arez e Amieira do Tejo
2,APR1213A,Ponte de Sor (APR)
3,121304,Foros de Arrão
3,121301,Galveias
3,121305,Longomel
3,121302,Montargil
2,APR1214A,Portalegre (APR)
3,121401,Alagoa
3,121402,Alegrete
3,121404,Fortios
3,121412,União das freguesias de Reguengo e São Julião
3,121413,União das freguesias de Ribeira de Nisa e Carreiras
3,121410,Urra
2,APR1215A,Sousel (APR)
3,121501,Cano
3,121502,Casa Branca
3,121503,Santo Amaro
2,APR1301A,Amarante (APR)
3,130103,Ansiães
3,130107,Candemil
3,130115,Fridão
3,130134,Gouveia (São Simão)
3,130128,Rebordelo
3,130141,"União das freguesias de Aboadela, Sanche e Várzea"
3,130143,"União das freguesias de Bustelo, Carneiro e Carvalho de Rei"
3,130146,União das freguesias de Olo e Canadelo
3,130139,Vila Chã do Marão
2,APR1302A,Baião (APR)
3,130205,Gestaçô
3,130207,Grilo
3,130208,Loivos do Monte
3,130222,União das freguesias de Baião (Santa Leocádia) e Mesquinhata
3,130224,União das freguesias de Loivos da Ribeira e Tresouras
3,130225,União das freguesias de Santa Cruz do Douro e São Tomé de Covelas
3,130226,União das freguesias de Teixeira e Teixeiró
3,130219,Valadares
3,130220,Viariz
2,APR1307A,Marco de Canaveses (APR)
3,130733,Avessadas e Rosém
3,130737,Paredes de Viadores e Manhuncelos
3,130738,Penha Longa e Paços de Gaiolo
3,130740,"Várzea, Aliviada e Folhada"
2,APR1310A,Paredes (APR)
3,131001,Aguiar de Sousa
2,APR1311A,Penafiel (APR)
3,131105,Canelas
3,131106,Capela
3,131140,Luzim e Vila Cova
2,APR1314A,Santo Tirso (APR)
3,131436,União das freguesias de Lamelas e Guimarei
2,APR1316A,Vila do Conde (APR)
3,131631,"União das freguesias de Bagunte, Ferreiró, Outeiro Maior e Parada"
2,APR1318A,Trofa (APR)
3,131806,Covelas
2,APR1401A,Abrantes (APR)
3,140104,Bemposta
3,140119,Carvalhal
3,140118,Fontes
3,140105,Martinchel
3,140106,Mouriscas
3,140107,Pego
3,140108,Rio de Moinhos
3,140121,União das freguesias de Aldeia do Mato e Souto
3,140122,União das freguesias de Alvega e Concavada
3,140123,União das freguesias de São Facundo e Vale das Mós
2,APR1402A,Alcanena (APR)
3,140202,Bugalhos
3,140207,Moitas Venda
3,140208,Monsanto
3,140209,Serra de Santo António
3,140212,"União das freguesias de Malhou, Louriceira e Espinheiro"
2,APR1403A,Almeirim (APR)
3,140302,Benfica do Ribatejo
3,140304,Raposa
2,APR1405A,Benavente (APR)
3,140504,Barrosa
3,140503,Santo Estêvão
2,APR1406A,Cartaxo (APR)
3,140610,União das freguesias de Ereira e Lapa
3,140605,Valada
3,140608,Vale da Pedra
2,APR1407A,Chamusca (APR)
3,140707,Carregueira
3,140704,Ulme
3,140709,União das freguesias de Parreira e Chouto
3,140705,Vale de Cavalos
2,APR1419A,Torres Novas (APR)
3,141902,Assentiz
3,141904,Chancelaria
3,141909,Pedrógão
3,141918,"União das freguesias de Brogueira, Parceiros de Igreja e Alcorochel"
3,141919,União das freguesias de Olaia e Paço
3,141916,Zibreira
2,APR1420A,Vila Nova da Barquinha (APR)
3,142002,Praia do Ribatejo
3,142003,Tancos
2,APR1421A,Ourém (APR)
3,142101,Alburitel
3,142104,Caxarias
3,142105,Espite
3,142113,Seiça
3,142119,"União das freguesias de Freixianda, Ribeira do Fárrio e Formigais"
3,142120,União das freguesias de Gondemaria e Olival
3,142121,União das freguesias de Matas e Cercal
3,142122,União das freguesias de Rio de Couros e Casal dos Bernardos
3,142114,Urqueira
2,APR1501A,Alcácer do Sal (APR)
3,150106,Comporta
3,150105,São Martinho
3,150104,Torrão
2,APR1505A,Grândola (APR)
3,150501,Azinheira dos Barros e São Mamede do Sádão
3,150505,Carvalhal
3,150503,Melides
2,APR1507A,Montijo (APR)
3,150701,Canha
3,150711,União das freguesias de Pegões
2,APR1508A,Palmela (APR)
3,150806,União das freguesias de Poceirão e Marateca
2,APR1509A,Santiago do Cacém (APR)
3,150901,Abela
3,150902,Alvalade
3,150903,Cercal
3,150904,Ermidas-Sado
3,150910,São Francisco da Serra
3,150913,União das freguesias de São Domingos e Vale de Água
2,APR1513A,Sines (APR)
3,151302,Porto Covo
2,APR1601A,Arcos de Valdevez (APR)
3,160104,Ázere
3,160105,Cabana Maior
3,160106,Cabreiro
3,160108,Cendufe
3,160109,Couto
3,160113,Gavieira
3,160115,Gondoriz
3,160121,Miranda
3,160122,Monte Redondo
3,160125,Padroso
3,160131,Rio de Moinhos
3,160130,Rio Frio
3,160133,Sabadim
3,160144,Senharei
3,160145,Sistelo
3,160146,Soajo
3,160152,União das freguesias de Alvora e Loureda
3,160155,União das freguesias de Eiras e Mei
3,160156,União das freguesias de Grade e Carralcova
3,160158,União das freguesias de Jolda (Madalena) e Rio Cabrão
3,160159,União das freguesias de Padreiro (Salvador e Santa Cristina)
3,160160,União das freguesias de Portela e Extremo
3,160161,União das freguesias de São Jorge e Ermelo
3,160163,União das freguesias de Távora (Santa Maria e São Vicente)
3,160164,"União das freguesias de Vilela, São Cosme e São Damião e Sá"
3,160149,Vale
2,APR1602A,Caminha (APR)
3,160205,Argela
3,160209,Dem
3,160214,Riba de Âncora
3,160221,"União das freguesias de Arga (Baixo, Cima e São João)"
3,160223,União das freguesias de Gondar e Orbacém
3,160225,União das freguesias de Venade e Azevedo
3,160218,Vilar de Mouros
3,160220,Vile
2,APR1603A,Melgaço (APR)
3,160304,Cousso
3,160305,Cristoval
3,160307,Fiães
3,160308,Gave
3,160311,Paderne
3,160313,Penso
3,160317,São Paio
3,160319,União das freguesias de Castro Laboreiro e Lamas de Mouro
3,160320,União das freguesias de Chaviães e Paços
3,160321,União das freguesias de Parada do Monte e Cubalhão
2,APR1604A,Monção (APR)
3,160401,Abedim
3,160405,Barroças e Taias
3,160407,Cambeses
3,160410,Lara
3,160411,Longos Vales
3,160415,Merufe
3,160420,Pias
3,160422,Podame
3,160423,Portela
3,160424,Riba de Mouro
3,160428,Tangil
3,160431,Trute
3,160434,União das freguesias de Anhões e Luzio
3,160435,União das freguesias de Ceivães e Badim
3,160437,"União das freguesias de Messegães, Valadares e Sá"
3,160439,"União das freguesias de Sago, Lordelo e Parada"
3,160440,União das freguesias de Troporiz e Lapela
2,APR1605A,Paredes de Coura (APR)
3,160501,Agualonga
3,160505,Coura
3,160507,Cunha
3,160510,Infesta
3,160513,Mozelos
3,160514,Padornelo
3,160515,Parada
3,160519,Romarigães
3,160520,Rubiães
3,160522,União das freguesias de Bico e Cristelo
3,160523,União das freguesias de Cossourado e Linhares
3,160524,União das freguesias de Formariz e Ferreira
3,160525,União das freguesias de Insalde e Porreiras
3,160521,Vascões
2,APR1606A,Ponte da Barca (APR)
3,160601,Azias
3,160602,Boivães
3,160604,Britelo
3,160606,Cuide de Vila Verde
3,160612,Lindoso
3,160619,Sampriz
